(2017-12-14 21:21:30 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:21:30 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:21:30 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:21:30 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:21:34 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:21:34 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:21:34 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:21:34 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:22:04 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 4, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:22:04 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 4, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:22:08 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:22:08 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:22:12 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:22:12 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:22:54 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:22:54 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:23:15 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:23:15 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:23:15 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:23:15 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:23:21 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:23:21 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:23:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 4, ps_id: 1, proc_type: 259, msg_type: 2
(2017-12-14 21:23:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 4, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 21:23:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 4, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 21:23:42 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: , ss_id: 4, ps_id: 10000, proc_type: 356, msg_type: 0
(2017-12-14 21:23:42 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: , ss_id: 4, ps_id: 10000, proc_type: 356, msg_type: 0
(2017-12-14 21:25:16 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: , ss_id: 4, ps_id: 10000, proc_type: 356, msg_type: 0
(2017-12-14 21:25:16 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: , ss_id: 4, ps_id: 10000, proc_type: 356, msg_type: 0
(2017-12-14 21:25:30 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 1, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:25:30 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 1, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:25:30 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 1, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:25:30 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 1, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:25:32 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:25:32 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:25:32 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:25:32 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:25:54 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 4, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:25:54 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 4, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:25:57 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 3, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:25:57 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 3, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:26:28 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:26:28 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:26:30 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:26:30 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:26:39 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:26:39 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:26:47 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:26:47 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:26:55 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 4, ps_id: 2, proc_type: 259, msg_type: 2
(2017-12-14 21:26:55 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 4, ps_id: 10000, proc_type: 261, msg_type: 2
