(2017-12-14 21:14:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:14:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:14:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:14:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:14:36 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:14:36 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:15:01 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:15:01 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:15:07 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 5, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:15:07 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 5, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:15:15 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 5, ps_id: 2, proc_type: 259, msg_type: 2
(2017-12-14 21:15:15 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 5, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 21:15:15 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 5, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 21:15:57 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: , ss_id: 5, ps_id: 10000, proc_type: 356, msg_type: 0
(2017-12-14 21:15:57 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: , ss_id: 5, ps_id: 10000, proc_type: 356, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 2, ps_id: 4, proc_type: 1048578, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 2, ps_id: 4, proc_type: 1048578, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 4, ps_id: 2, proc_type: 1048578, msg_type: 1
(2017-12-14 21:16:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 4, ps_id: 2, proc_type: 1048578, msg_type: 1
(2017-12-14 21:16:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 2, ps_id: 4, proc_type: 65536, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 2, ps_id: 4, proc_type: 65536, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 4, ps_id: 2, proc_type: 65536, msg_type: 1
(2017-12-14 21:16:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 4, ps_id: 2, proc_type: 65536, msg_type: 1
(2017-12-14 21:16:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 2, ps_id: 4, proc_type: 65537, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 2, ps_id: 4, proc_type: 65537, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 4, ps_id: 2, proc_type: 65537, msg_type: 1
(2017-12-14 21:16:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 4, ps_id: 2, proc_type: 65537, msg_type: 1
(2017-12-14 21:16:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 2, ps_id: 4, proc_type: 65538, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 2, ps_id: 4, proc_type: 65538, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 21:16:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 21:16:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 21:16:36 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 21:16:36 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 1
(2017-12-14 21:16:36 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 1
(2017-12-14 21:16:36 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 4, proc_type: 65537, msg_type: 1
(2017-12-14 21:16:36 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 3, ps_id: 4, proc_type: 65537, msg_type: 1
(2017-12-14 21:16:36 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 3, ps_id: 4, proc_type: 65538, msg_type: 1
