(2017-12-14 20:58:57 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 1, proc_type: 1048576, msg_type: 1
(2017-12-14 20:58:57 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 1, proc_type: 257, msg_type: 2
(2017-12-14 21:00:02 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 1, proc_type: 257, msg_type: 2
(2017-12-14 21:00:21 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 1, proc_type: 257, msg_type: 2
(2017-12-14 21:00:24 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 1, proc_type: 257, msg_type: 2
(2017-12-14 21:00:31 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 10000, ps_id: 1, proc_type: 261, msg_type: 2
(2017-12-14 21:00:49 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 1, proc_type: 356, msg_type: 0
(2017-12-14 21:00:49 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 1, proc_type: 356, msg_type: 0
(2017-12-14 21:01:33 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 1, proc_type: 1048578, msg_type: 0
(2017-12-14 21:01:33 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 1, proc_type: 1048578, msg_type: 0
(2017-12-14 21:01:34 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 1, proc_type: 65536, msg_type: 0
(2017-12-14 21:01:34 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 1, proc_type: 65536, msg_type: 0
(2017-12-14 21:01:34 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 1, proc_type: 65536, msg_type: 0
(2017-12-14 21:01:34 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 1, proc_type: 65536, msg_type: 0
(2017-12-14 21:01:34 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 1, proc_type: 65537, msg_type: 0
(2017-12-14 21:01:34 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 1, proc_type: 65537, msg_type: 0
(2017-12-14 21:01:34 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 3, ps_id: 1, proc_type: 65538, msg_type: 0
(2017-12-14 21:01:34 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: invoke, ss_id: 3, ps_id: 1, proc_type: 65538, msg_type: 0
(2017-12-14 21:01:35 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 3, ps_id: 1, proc_type: 1048579, msg_type: 0
(2017-12-14 21:01:35 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: end session, ss_id: 3, ps_id: 1, proc_type: 1048579, msg_type: 0
(2017-12-14 21:14:36 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 3, proc_type: 1048576, msg_type: 1
(2017-12-14 21:14:36 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 3, proc_type: 257, msg_type: 2
(2017-12-14 21:15:01 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 3, proc_type: 257, msg_type: 2
(2017-12-14 21:15:07 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 3, proc_type: 257, msg_type: 2
(2017-12-14 21:15:15 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 10000, ps_id: 3, proc_type: 261, msg_type: 2
(2017-12-14 21:15:57 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 3, proc_type: 356, msg_type: 0
(2017-12-14 21:15:57 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 3, proc_type: 356, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:16:35 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 21:17:52 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 4, ps_id: 3, proc_type: 1048579, msg_type: 0
(2017-12-14 21:17:52 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: end session, ss_id: 4, ps_id: 3, proc_type: 1048579, msg_type: 0
(2017-12-14 21:23:15 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 3, proc_type: 1048576, msg_type: 1
(2017-12-14 21:23:15 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 3, proc_type: 257, msg_type: 2
(2017-12-14 21:23:21 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 3, proc_type: 257, msg_type: 2
(2017-12-14 21:23:27 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 10000, ps_id: 3, proc_type: 261, msg_type: 2
(2017-12-14 21:23:42 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 3, proc_type: 356, msg_type: 0
(2017-12-14 21:23:42 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 3, proc_type: 356, msg_type: 0
(2017-12-14 21:25:16 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 3, proc_type: 356, msg_type: 0
(2017-12-14 21:25:16 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 3, proc_type: 356, msg_type: 0
(2017-12-14 21:25:57 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 10000, ps_id: 3, proc_type: 1048577, msg_type: 1
(2017-12-14 21:26:39 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 3, proc_type: 1048576, msg_type: 1
(2017-12-14 21:26:39 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 3, proc_type: 257, msg_type: 2
(2017-12-14 21:26:47 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 3, proc_type: 257, msg_type: 2
(2017-12-14 21:26:55 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 10000, ps_id: 3, proc_type: 261, msg_type: 2
(2017-12-14 21:27:08 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 3, proc_type: 356, msg_type: 0
(2017-12-14 21:27:08 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 3, proc_type: 356, msg_type: 0
(2017-12-14 21:37:40 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 3, proc_type: 1048576, msg_type: 1
(2017-12-14 21:37:40 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 3, proc_type: 257, msg_type: 2
(2017-12-14 21:37:46 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 3, proc_type: 257, msg_type: 2
(2017-12-14 21:38:04 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 10000, ps_id: 3, proc_type: 261, msg_type: 2
(2017-12-14 21:38:20 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 3, proc_type: 356, msg_type: 0
(2017-12-14 21:38:20 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 3, proc_type: 356, msg_type: 0
(2017-12-14 21:40:39 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 2, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:40:39 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: start session, ss_id: 2, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:40:40 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 2, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 21:40:40 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: application request, ss_id: 2, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 21:40:40 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 2, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 21:40:40 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: send data, ss_id: 2, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 21:40:41 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 2, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 21:40:41 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: invoke, ss_id: 2, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 21:41:06 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 2, ps_id: 3, proc_type: 1048579, msg_type: 0
(2017-12-14 21:41:06 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: end session, ss_id: 2, ps_id: 3, proc_type: 1048579, msg_type: 0
(2017-12-14 21:45:37 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 10000, ps_id: 3, proc_type: 1048577, msg_type: 1
(2017-12-14 21:50:10 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 5, proc_type: 1048576, msg_type: 1
(2017-12-14 21:50:10 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 5, proc_type: 257, msg_type: 2
(2017-12-14 21:50:20 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 5, proc_type: 257, msg_type: 2
(2017-12-14 21:50:50 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 10000, ps_id: 5, proc_type: 261, msg_type: 2
(2017-12-14 21:51:09 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 5, proc_type: 356, msg_type: 0
(2017-12-14 21:51:09 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: , ss_id: 10000, ps_id: 5, proc_type: 356, msg_type: 0
(2017-12-14 21:52:27 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 21:52:27 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 21:52:27 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 21:52:27 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 21:52:28 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 5, proc_type: 65536, msg_type: 0
(2017-12-14 21:52:28 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 5, proc_type: 65536, msg_type: 0
(2017-12-14 21:52:28 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 5, proc_type: 65536, msg_type: 0
(2017-12-14 21:52:28 周四) Info:  MS: client_proxy:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 5, proc_type: 65536, msg_type: 0
