(2017-12-14 21:00:24 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 4, proc_type: 1048576, msg_type: 1
(2017-12-14 21:00:24 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 4, proc_type: 257, msg_type: 2
(2017-12-14 21:15:07 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 5, proc_type: 1048576, msg_type: 1
(2017-12-14 21:15:07 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 5, proc_type: 257, msg_type: 2
(2017-12-14 21:23:21 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 4, proc_type: 1048576, msg_type: 1
(2017-12-14 21:23:21 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 4, proc_type: 257, msg_type: 2
(2017-12-14 21:25:30 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 4, proc_type: 1048577, msg_type: 2
(2017-12-14 21:25:32 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 4, proc_type: 1048577, msg_type: 2
(2017-12-14 21:25:54 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 10000, ps_id: 4, proc_type: 1048577, msg_type: 1
(2017-12-14 21:26:47 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 4, proc_type: 1048576, msg_type: 1
(2017-12-14 21:26:47 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 4, proc_type: 257, msg_type: 2
(2017-12-14 21:27:34 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 4, proc_type: 1048577, msg_type: 2
(2017-12-14 21:27:37 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 4, proc_type: 1048577, msg_type: 2
(2017-12-14 21:37:46 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 4, proc_type: 1048576, msg_type: 1
(2017-12-14 21:37:46 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 4, proc_type: 257, msg_type: 2
(2017-12-14 21:45:29 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 4, proc_type: 1048577, msg_type: 2
(2017-12-14 21:45:34 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 10000, ps_id: 4, proc_type: 1048577, msg_type: 1
(2017-12-14 21:50:20 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 6, proc_type: 1048576, msg_type: 1
(2017-12-14 21:50:20 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 6, proc_type: 257, msg_type: 2
(2017-12-14 21:56:24 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 6, proc_type: 1048577, msg_type: 2
(2017-12-14 21:56:27 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 6, proc_type: 1048577, msg_type: 2
(2017-12-14 21:56:53 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 10000, ps_id: 6, proc_type: 1048577, msg_type: 1
